User ,Activity,Timeframe,X axis,Y axis,Z axis,Timedifference
2,a_walk,22.545,-0.73,0.462,0.384,0.050048
2,a_walk,22.594856,-0.744,0.472,0.39,0.049856
2,a_walk,22.644904,-0.752,0.476,0.376,0.050048
2,a_walk,22.694952,-0.746,0.432,0.286,0.050048
2,a_walk,22.745,-0.826,0.422,0.2,0.050048
2,a_walk,22.794856,-0.904,0.416,0.206,0.049856
2,a_walk,22.844904,-1.322,0.418,0.188,0.050048
2,a_walk,22.894952,-1.146,0.4,0.184,0.050048
2,a_walk,22.945,-0.948,0.228,0.118,0.050048
2,a_walk,22.994856,-1.192,0.192,0.078,0.049856
2,a_walk,23.044904,-0.946,0.164,0.076,0.050048
2,a_walk,23.094952,-0.826,0.188,0.102,0.050048
2,a_walk,23.145,-0.79,0.294,0.126,0.050048
2,a_walk,23.195856,-0.772,0.316,0.062,0.050856
2,a_walk,23.245904,-0.77,0.406,0.072,0.050048
2,a_walk,23.295952,-0.798,0.406,0.092,0.050048
2,a_walk,23.346,-0.856,0.384,0.096,0.050048
2,a_walk,23.395856,-0.938,0.376,0.12,0.049856
2,a_walk,23.445904,-0.916,0.37,0.166,0.050048
2,a_walk,23.495952,-0.948,0.312,0.182,0.050048
2,a_walk,23.546,-1.128,0.326,0.108,0.050048
2,a_walk,23.595856,-0.826,0.366,0.198,0.049856
2,a_walk,23.645904,-0.634,0.358,0.176,0.050048
2,a_walk,23.695952,-0.884,0.416,0.188,0.050048
2,a_walk,23.746,-0.826,0.334,0.19,0.050048
2,a_walk,23.795856,-0.84,0.326,0.252,0.049856
2,a_walk,23.845904,-0.826,0.384,0.318,0.050048
2,a_walk,23.895952,-0.84,0.354,0.302,0.050048
2,a_walk,23.946,-0.894,0.322,0.3,0.050048
2,a_walk,23.995856,-0.862,0.32,0.254,0.049856
2,a_walk,24.045904,-0.872,0.342,0.206,0.050048
2,a_walk,24.095952,-0.866,0.378,0.014,0.050048
2,a_walk,24.146,-0.962,0.376,-0.128,0.050048
2,a_walk,24.195856,-1.3,0.384,-0.274,0.049856
2,a_walk,24.245904,-1.198,0.296,-0.366,0.050048
2,a_walk,24.295952,-1.056,0.112,-0.472,0.050048
2,a_walk,24.346,-1.104,0.088,-0.4,0.050048
2,a_walk,24.396856,-0.834,0.118,-0.272,0.050856
2,a_walk,24.446904,-0.69,0.144,-0.168,0.050048
2,a_walk,24.496952,-0.786,0.172,-0.042,0.050048
2,a_walk,24.547,-0.84,0.302,-0.032,0.050048
2,a_walk,24.596856,-0.916,0.352,-0.02,0.049856
2,a_walk,24.646904,-0.968,0.366,-0.026,0.050048
2,a_walk,24.696952,-1.032,0.504,0.072,0.050048
2,a_walk,24.747,-0.98,0.454,0.088,0.050048
2,a_walk,24.796856,-0.954,0.418,0.114,0.049856
2,a_walk,24.846904,-0.818,0.446,0.14,0.050048
2,a_walk,24.896952,-0.81,0.472,0.14,0.050048
2,a_walk,24.947,-0.846,0.342,0.166,0.050048
2,a_walk,24.996856,-0.656,0.37,0.126,0.049856
2,a_walk,25.046904,-0.634,0.318,0.126,0.050048
2,a_walk,25.096952,-0.618,0.368,0.078,0.050048
2,a_walk,25.147,-0.6,0.398,0.076,0.050048
2,a_walk,25.196856,-0.89,0.472,0.066,0.049856
2,a_walk,25.246904,-0.896,0.476,0.032,0.050048
2,a_walk,25.296952,-1.376,0.322,0.024,0.050048
2,a_walk,25.347,-1.2,0.19,-0.016,0.050048
2,a_walk,25.397856,-1.212,0.176,-0.036,0.050856
2,a_walk,25.447904,-0.898,0.19,0.048,0.050048
2,a_walk,25.497952,-0.814,0.21,0.052,0.050048
2,a_walk,25.548,-0.706,0.192,0.038,0.050048
2,a_walk,25.597856,-0.756,0.198,0.022,0.049856
2,a_walk,25.647904,-0.824,0.236,-0.014,0.050048
2,a_walk,25.697952,-0.928,0.306,0.014,0.050048
2,a_walk,25.748,-1.092,0.386,0.056,0.050048
2,a_walk,25.797856,-1.182,0.43,0.096,0.049856
2,a_walk,25.847904,-1.152,0.28,0.136,0.050048
2,a_walk,25.897952,-1.204,0.116,0.152,0.050048
2,a_walk,25.948,-0.968,0.168,0.39,0.050048
2,a_walk,25.997856,-0.884,0.198,0.29,0.049856
2,a_walk,26.047904,-0.612,0.22,0.184,0.050048
2,a_walk,26.097952,-0.724,0.268,0.23,0.050048
2,a_walk,26.148,-0.762,0.28,0.304,0.050048
2,a_walk,26.197856,-0.794,0.344,0.304,0.049856
2,a_walk,26.247904,-0.782,0.3,0.296,0.050048
2,a_walk,26.297952,-0.818,0.286,0.294,0.050048
2,a_walk,26.348,-0.852,0.302,0.332,0.050048
2,a_walk,26.398856,-0.776,0.364,0.356,0.050856
2,a_walk,26.448904,-0.776,0.396,0.28,0.050048
2,a_walk,26.498952,-0.866,0.412,0.188,0.050048
2,a_walk,26.549,-1.108,0.418,0.024,0.050048
2,a_walk,26.598856,-1.16,0.526,-0.08,0.049856
2,a_walk,26.648904,-1.012,0.48,-0.272,0.050048
2,a_walk,26.698952,-1.012,0.51,-0.294,0.050048
2,a_walk,26.749,-1.064,0.448,-0.388,0.050048
2,a_walk,26.798856,-1.216,0.536,-0.41,0.049856
2,a_walk,26.848904,-0.954,0.526,-0.324,0.050048
2,a_walk,26.898952,-0.754,0.608,-0.016,0.050048
2,a_walk,26.949,-0.72,0.606,0.126,0.050048
2,a_walk,26.998856,-0.734,0.572,0.35,0.049856
2,a_walk,27.048904,-0.858,0.64,0.4,0.050048
2,a_walk,27.098952,-0.738,0.578,0.632,0.050048
2,a_walk,27.149,-0.784,0.23,0.708,0.050048
2,a_walk,27.198856,-0.69,0.216,0.574,0.049856
2,a_walk,27.248904,-0.51,0.082,0.542,0.050048
2,a_walk,27.298952,-0.608,0.038,0.396,0.050048
2,a_walk,27.349,-0.756,0.072,0.246,0.050048
2,a_walk,27.399856,-1.138,0.056,0.094,0.050856
2,a_walk,27.449904,-1.896,0.158,0.128,0.050048
2,a_walk,27.499952,-1.048,-0.526,0.268,0.050048
2,a_walk,27.55,-1.056,-0.258,0.302,0.050048
2,a_walk,27.599856,-0.674,-0.538,0.752,0.049856
2,a_walk,27.649904,-0.9,-0.51,0.356,0.050048
2,a_walk,27.699952,-0.922,-0.372,0.582,0.050048
2,a_walk,27.75,-0.912,-0.248,0.408,0.050048
2,a_walk,27.799856,-0.846,-0.09,0.384,0.049856
2,a_walk,27.849904,-1.028,-0.024,0.352,0.050048
2,a_walk,27.899952,-0.866,-0.184,0.582,0.050048
2,a_walk,27.95,-0.848,-0.05,0.486,0.050048
2,a_walk,27.999856,-0.984,-0.072,0.446,0.049856
2,a_walk,28.049904,-0.996,-0.13,0.604,0.050048
2,a_walk,28.099952,-0.832,0.098,0.318,0.050048
2,p_stand,28.15,-0.8,0.024,0.344,0.050048
