User,Activity,Timeframe,X axis,Y axis,Z axis,Timedifference
3,a_walk,80.728,0.902,-0.354,0.294,0.050048
3,a_walk,80.777856,0.934,-0.57,0.152,0.049856
3,a_walk,80.827904,0.856,-0.698,0.092,0.050048
3,a_walk,80.877952,0.922,-0.494,0.018,0.050048
3,a_walk,80.928,0.99,-0.392,0.044,0.050048
3,a_walk,80.977856,0.944,-0.366,0.096,0.049856
3,a_walk,81.027904,0.934,-0.362,0.11,0.050048
3,a_walk,81.077952,0.918,-0.336,0.104,0.050048
3,a_walk,81.128,0.87,-0.32,0.098,0.050048
3,a_walk,81.177856,0.872,-0.296,0.152,0.049856
3,a_walk,81.227904,0.84,-0.288,0.144,0.050048
3,a_walk,81.277952,0.798,-0.296,0.194,0.050048
3,a_walk,81.328,0.83,-0.32,0.23,0.050048
3,a_walk,81.377856,0.95,-0.36,0.27,0.049856
3,a_walk,81.427904,1.12,-0.32,0.32,0.050048
3,a_walk,81.477952,1.336,-0.378,0.19,0.050048
3,a_walk,81.528,1.304,-0.4,0.176,0.050048
3,a_walk,81.578856,0.934,-0.41,0.294,0.050856
3,a_walk,81.628904,0.952,-0.474,0.284,0.050048
3,a_walk,81.678952,0.876,-0.442,0.312,0.050048
3,a_walk,81.729,0.9,-0.306,0.312,0.050048
3,a_walk,81.778856,0.904,-0.208,0.232,0.049856
3,a_walk,81.828904,0.888,-0.286,0.184,0.050048
3,a_walk,81.878952,0.882,-0.318,0.21,0.050048
3,a_walk,81.929,0.856,-0.282,0.254,0.050048
3,a_walk,81.978856,0.83,-0.202,0.326,0.049856
3,a_walk,82.028904,0.806,-0.178,0.344,0.050048
3,a_walk,82.078952,0.814,-0.168,0.358,0.050048
3,,82.129,0.808,-0.146,0.334,0.050048
3,p_stand,82.178856,0.838,-0.094,0.348,0.049856
3,p_stand,82.228904,0.824,-0.116,0.368,0.050048
3,p_stand,82.278952,0.848,-0.2,0.364,0.050048
3,p_stand,82.329,0.796,-0.232,0.334,0.050048
3,p_stand,82.378856,1.08,-0.286,0.352,0.049856
3,p_stand,82.428904,1.198,-0.366,0.462,0.050048
3,p_stand,82.478952,1.086,-0.386,0.296,0.050048
3,p_stand,82.529,0.996,-0.306,0.232,0.050048
3,p_stand,82.579856,0.95,-0.27,0.254,0.050856
3,p_stand,82.629904,0.998,-0.244,0.288,0.050048
3,p_stand,82.679952,1.008,-0.242,0.248,0.050048
3,p_stand,82.73,0.99,-0.226,0.156,0.050048
3,p_stand,82.779856,1.01,-0.27,0.12,0.049856
3,p_stand,82.829904,1.008,-0.28,0.118,0.050048
3,p_stand,82.879952,0.982,-0.306,0.088,0.050048
3,p_stand,82.93,0.92,-0.32,0.088,0.050048
3,p_stand,82.979856,0.9,-0.302,0.132,0.049856
3,p_stand,83.029904,0.878,-0.27,0.156,0.050048
3,p_stand,83.079952,0.886,-0.242,0.192,0.050048
3,p_stand,83.13,0.914,-0.272,0.262,0.050048
