User,Activity,Timeframe,X axis,Y axis,Z axis
1,a_walk,0,0.968,-0.118,-0.074
1,a_walk,0.050048,1.082,-0.088,0.024
1,a_walk,0.099904,1.072,-0.126,0.078
1,a_walk,0.149952,1.186,-0.144,0.13
1,a_walk,0.2,1.044,-0.218,0.174
1,a_walk,0.250048,0.976,-0.144,0.162
1,a_walk,0.299904,0.94,-0.068,0.112
1,a_walk,0.349952,0.914,-0.168,0.12
1,a_walk,0.4,0.908,-0.19,0.142
1,a_walk,0.450048,0.998,-0.288,0.118
1,a_walk,0.499904,0.97,-0.228,0.088
1,a_walk,0.549952,0.904,-0.354,0.148
1,a_walk,0.6,0.864,-0.488,0.14
1,a_walk,0.650048,0.918,-0.706,0.056
1,a_walk,0.700904,0.944,-0.706,0.032
1,a_walk,0.750952,1.152,-0.864,-0.008
1,a_walk,0.801,0.966,-0.736,-0.154
1,a_walk,0.851048,1.058,-0.754,-0.194
1,a_walk,0.900904,0.944,-0.74,-0.234
1,a_walk,0.950952,0.818,-0.968,-0.16
1,a_walk,1.001,0.678,-1.05,-0.25
1,a_walk,1.051048,0.578,-1.064,-0.096
1,a_walk,1.100904,0.572,-1.028,0.166
1,a_walk,1.150952,0.39,-0.882,0.344
1,a_walk,1.201,0.382,-0.89,0.574
1,a_walk,1.251048,0.308,-0.446,0.664
1,a_walk,1.300904,0.504,-0.4,0.69
1,a_walk,1.350952,0.6,-0.146,0.654
1,a_walk,1.401,0.552,0.048,0.668
1,a_walk,1.451048,0.782,-0.02,-0.002
1,a_walk,1.500904,1.66,-0.986,0.91
1,a_walk,1.550952,0.038,-0.178,1.214
1,a_walk,1.601,0.696,0.042,0.904
1,a_walk,1.651048,0.198,-0.122,1.016
1,a_walk,1.701904,0.37,-0.154,1.102
1,a_walk,1.751952,0.166,-0.306,1.176
1,a_walk,1.802,-0.082,-0.24,1.152
1,a_walk,1.852048,0.092,-0.346,1.064
1,a_walk,1.901904,0.044,-0.356,1.056
1,a_walk,1.951952,-0.228,-0.09,0.896
1,a_walk,2.002,-0.084,-0.612,1.02
1,a_walk,2.052048,-0.158,-0.26,0.902
1,a_walk,2.101904,0.03,-0.666,0.934
1,a_walk,2.151952,-0.008,-0.458,0.78
1,a_walk,2.202,0.112,-0.424,0.796
1,a_walk,2.252048,0.156,-0.416,0.722
1,a_walk,2.301904,0.286,-0.478,0.7
1,a_walk,2.351952,0.38,-0.482,0.61
1,a_walk,2.402,0.582,-0.378,0.588
1,a_walk,2.452048,0.752,-0.36,0.612
1,a_walk,2.501904,0.88,-0.242,0.588
1,a_walk,2.551952,1.03,-0.34,0.582
1,a_walk,2.602,1.214,-0.264,0.486
1,a_walk,2.652048,1.632,-0.994,0.014
1,a_walk,2.702904,1.064,-0.01,0.528
1,a_walk,2.752952,1.208,-0.36,0.384
1,a_walk,2.803,0.958,-0.154,0.568
1,a_walk,2.853048,0.864,-0.19,0.44
1,a_walk,2.902904,0.83,-0.302,0.366
1,a_walk,2.952952,0.846,-0.176,0.372
1,a_walk,3.003,0.956,-0.242,0.364
1,a_walk,3.053048,0.864,-0.276,0.304
1,a_walk,3.102904,0.896,-0.36,0.306
1,a_walk,3.152952,1.02,-0.298,0.296
1,a_walk,3.203,0.896,-0.512,0.294
1,a_walk,3.253048,0.87,-0.464,0.114
1,a_walk,3.302904,0.79,-0.506,0.206
1,a_walk,3.352952,0.888,-0.426,0.198
1,a_walk,3.403,0.926,-0.398,0.188
1,a_walk,3.453048,0.952,-0.436,0.18
1,a_walk,3.502904,0.936,-0.334,0.27
1,a_walk,3.552952,0.806,-0.36,0.268
1,a_walk,3.603,0.972,-0.474,0.268
1,a_walk,3.653048,0.846,-0.4,0.252
1,a_walk,3.703904,0.91,-0.36,0.322
1,a_walk,3.753952,0.898,-0.488,0.344
1,unknown,3.804,0.824,-0.402,0.248
1,unknown,3.854048,0.816,-0.57,0.304
1,t_turn,3.903904,0.808,-0.43,0.382
1,t_turn,3.953952,0.754,-0.61,0.248
1,t_turn,4.004,0.47,-0.82,0.182
1,t_turn,4.054048,0.274,-0.796,0.192
1,t_turn,4.103904,0.104,-0.994,0.04
1,t_turn,4.153952,0.316,-1.112,-0.016
1,t_turn,4.204,0.466,-1.048,0.052
1,t_turn,4.254048,0.424,-0.698,0.088
1,t_turn,4.303904,0.482,-0.746,0.252
1,t_turn,4.353952,0.732,-0.458,0.28
1,t_turn,4.404,0.728,-0.634,0.168
1,t_turn,4.454048,0.816,-0.878,0.268
1,t_turn,4.503904,0.792,-0.538,0.344
1,t_turn,4.553952,0.882,-0.51,0.308
1,t_turn,4.604,0.864,-0.516,0.316
1,t_turn,4.654048,0.806,-0.538,0.344
1,t_turn,4.703904,0.85,-0.506,0.308
1,t_turn,4.753952,0.814,-0.552,0.38
1,t_turn,4.804,0.888,-0.474,0.334
1,t_turn,4.854048,0.86,-0.398,0.328
1,t_turn,4.904904,0.798,-0.434,0.376
