User,Activity,Timeframe,X axis,Y axis,Z axis,Timedifference
5,p_stand,48.036856,-0.89,0.318,0.176,0.049856
5,p_stand,48.086904,-0.906,0.296,0.2,0.050048
5,p_stand,48.136952,-0.91,0.312,0.222,0.050048
5,p_stand,48.187,-0.92,0.338,0.224,0.050048
5,p_stand,48.236856,-0.89,0.326,0.24,0.049856
5,p_stand,48.286904,-0.894,0.318,0.292,0.050048
5,p_stand,48.336952,-0.852,0.344,0.288,0.050048
5,p_stand,48.387,-0.866,0.318,0.318,0.050048
5,p_stand,48.437856,-0.89,0.304,0.326,0.050856
5,p_stand,48.487904,-0.912,0.262,0.32,0.050048
5,p_stand,48.537952,-0.866,0.262,0.3,0.050048
5,p_stand,48.588,-0.882,0.326,0.272,0.050048
5,p_stand,48.637856,-0.948,0.336,0.288,0.049856
5,p_stand,48.687904,-0.864,0.304,0.294,0.050048
5,p_stand,48.737952,-0.84,0.326,0.32,0.050048
5,p_stand,48.788,-0.832,0.31,0.32,0.050048
5,p_stand,48.837856,-0.818,0.288,0.318,0.049856
5,p_stand,48.887904,-0.882,0.308,0.344,0.050048
5,p_stand,48.937952,-0.882,0.326,0.358,0.050048
5,p_stand,48.988,-0.88,0.286,0.364,0.050048
5,p_stand,49.037856,-0.856,0.258,0.338,0.049856
5,p_stand,49.087904,-0.852,0.28,0.344,0.050048
5,p_stand,49.137952,-0.848,0.29,0.332,0.050048
5,p_stand,49.188,-0.868,0.294,0.334,0.050048
5,p_stand,49.237856,-0.872,0.286,0.344,0.049856
5,p_stand,49.287904,-0.882,0.286,0.348,0.050048
5,p_stand,49.337952,-0.884,0.294,0.328,0.050048
5,p_stand,49.388,-0.868,0.288,0.354,0.050048
5,p_stand,49.438856,-0.858,0.294,0.336,0.050856
5,p_stand,49.488904,-0.862,0.31,0.408,0.050048
5,p_stand,49.538952,-0.84,0.31,0.336,0.050048
5,p_stand,49.589,-0.864,0.316,0.336,0.050048
5,p_stand,49.638856,-0.858,0.296,0.312,0.049856
5,p_stand,49.688904,-0.856,0.304,0.334,0.050048
5,p_stand,49.738952,-0.848,0.312,0.324,0.050048
5,p_stand,49.789,-0.848,0.312,0.334,0.050048
5,p_stand,49.838856,-0.826,0.294,0.304,0.049856
5,p_stand,49.888904,-0.846,0.326,0.352,0.050048
5,p_stand,49.938952,-0.85,0.318,0.358,0.050048
5,p_stand,49.989,-0.852,0.338,0.368,0.050048
5,p_stand,50.038856,-0.862,0.352,0.376,0.049856
5,p_stand,50.088904,-0.866,0.4,0.414,0.050048
5,p_stand,50.138952,-0.894,0.894,0.576,0.050048
5,p_stand,50.189,-0.872,1.42,0.864,0.050048
5,p_stand,50.238856,-0.996,1.144,0.882,0.049856
5,p_stand,50.288904,-1.058,1.424,0.656,0.050048
5,p_stand,50.338952,-0.926,0.664,0.55,0.050048
5,p_stand,50.389,-0.64,0.582,0.182,0.050048
5,p_stand,50.439856,-0.37,0.28,0.104,0.050856
5,p_stand,50.489904,-0.2,0.034,0.132,0.050048
5,a_walk,50.539952,0.056,0.092,0.246,0.050048
5,a_walk,50.59,-0.074,0.648,0.248,0.050048
5,a_walk,50.639856,-0.336,0.402,0.654,0.049856
5,a_walk,50.689904,-0.494,0.352,0.676,0.050048
5,a_walk,50.739952,-0.562,0.7,0.482,0.050048
5,a_walk,50.79,-0.692,0.486,0.652,0.050048
5,a_walk,50.839856,-0.868,0.758,0.594,0.049856
5,a_walk,50.889904,-0.936,0.496,0.466,0.050048
5,a_walk,50.939952,-0.938,0.584,0.444,0.050048
5,a_walk,50.99,-0.98,1.006,0.45,0.050048
5,a_walk,51.039856,-0.756,0.562,0.478,0.049856
5,a_walk,51.089904,-0.926,0.562,0.312,0.050048
5,a_walk,51.139952,-0.776,0.544,0.08,0.050048
5,a_walk,51.19,-0.858,0.542,0.56,0.050048
5,a_walk,51.239856,-0.696,1.602,-0.506,0.049856
5,a_walk,51.289904,-0.702,0.582,-0.126,0.050048
5,a_walk,51.339952,-0.702,0.88,-0.28,0.050048
5,a_walk,51.39,-0.68,0.638,-0.116,0.050048
5,a_walk,51.440856,-0.672,0.574,-0.036,0.050856
5,a_walk,51.490904,-0.64,0.572,-0.186,0.050048
5,a_walk,51.540952,-0.698,0.534,-0.184,0.050048
5,a_walk,51.591,-0.734,0.578,-0.192,0.050048
5,a_walk,51.640856,-0.674,0.614,-0.228,0.049856
5,a_walk,51.690904,-0.706,0.536,-0.288,0.050048
5,a_walk,51.740952,-0.702,0.484,-0.296,0.050048
5,a_walk,51.791,-0.808,0.544,-0.232,0.050048
5,a_walk,51.840856,-0.764,0.536,-0.372,0.049856
5,a_walk,51.890904,-0.784,0.51,-0.222,0.050048
5,a_walk,51.940952,-0.66,0.536,-0.416,0.050048
5,a_walk,51.991,-0.706,0.478,-0.242,0.050048
5,a_walk,52.040856,-0.73,0.334,-0.184,0.049856
5,a_walk,52.090904,-0.68,0.53,-0.168,0.050048
5,a_walk,52.140952,-0.716,0.454,-0.138,0.050048
5,a_walk,52.191,-0.754,0.55,-0.066,0.050048
5,a_walk,52.240856,-0.724,0.62,-0.248,0.049856
5,a_walk,52.290904,-0.666,0.688,-0.21,0.050048
5,a_walk,52.340952,-0.772,0.574,-0.144,0.050048
5,a_walk,52.391,-0.702,0.636,-0.058,0.050048
5,a_walk,52.440856,-0.938,0.486,-0.004,0.049856
5,a_walk,52.490904,-0.77,0.454,-0.096,0.050048
5,a_walk,52.540952,-0.93,0.398,-0.004,0.050048
5,a_walk,52.591,-0.722,0.422,0.002,0.050048
5,a_walk,52.641856,-0.776,0.368,0.006,0.050856
5,a_walk,52.691904,-0.77,0.14,0.174,0.050048
5,a_walk,52.741952,-0.866,0.422,0.014,0.050048
5,a_walk,52.792,-0.874,0.27,0.082,0.050048
5,a_walk,52.841856,-0.962,0.284,0.174,0.049856
5,a_walk,52.891904,-0.89,0.224,0.028,0.050048
5,a_walk,52.941952,-0.938,0.188,-0.018,0.050048
5,a_walk,52.992,-0.884,0.158,-0.062,0.050048
5,a_walk,53.041856,-0.894,0.178,-0.176,0.049856
5,a_walk,53.091904,-0.938,0.146,-0.178,0.050048
5,a_walk,53.141952,-0.974,0.268,-0.266,0.050048
5,a_walk,53.192,-0.83,0.128,-0.306,0.050048
5,t_turn,53.241856,-0.818,0.048,-0.16,0.049856
5,t_turn,53.291904,-1.01,0.056,-0.186,0.050048
5,t_turn,53.341952,-0.99,-0.024,-0.206,0.050048
5,t_turn,53.392,-0.864,0.05,-0.048,0.050048
5,t_turn,53.441856,-0.84,-0.026,-0.106,0.049856
5,t_turn,53.491904,-0.916,0.124,-0.064,0.050048
5,t_turn,53.541952,-0.872,-0.014,-0.024,0.050048
5,t_turn,53.592,-1,0.262,0.056,0.050048
5,t_turn,53.642856,-0.976,0.142,0.368,0.050856
5,t_turn,53.692904,-0.89,0.096,0.236,0.050048
5,t_turn,53.742952,-0.954,0.134,0.376,0.050048
5,t_turn,53.793,-0.968,0.198,0.236,0.050048
5,t_turn,53.842856,-0.81,0.4,0.298,0.049856
5,t_turn,53.892904,-0.858,0.216,0.344,0.050048
5,t_turn,53.942952,-0.898,-0.2,0.288,0.050048
5,t_turn,53.993,-0.984,0.056,-0.056,0.050048
5,t_turn,54.042856,-0.848,0.684,-0.052,0.049856
5,t_turn,54.092904,-0.784,0.85,0.044,0.050048
5,t_turn,54.142952,-0.672,1.022,0.038,0.050048
5,t_turn,54.193,-0.542,0.782,-0.1,0.050048
5,t_turn,54.242856,-0.536,1.054,0.268,0.049856
5,t_turn,54.292904,-0.568,0.896,0.188,0.050048
5,p_stand,54.342952,-0.426,0.688,0.29,0.050048
5,p_stand,54.393,-0.536,0.652,0.172,0.050048
5,p_stand,54.442856,-0.648,0.534,0.198,0.049856
5,p_stand,54.492904,-0.554,0.678,0.134,0.050048
5,p_stand,54.542952,-0.788,0.61,0.024,0.050048
5,p_stand,54.593,-1,0.654,-0.282,0.050048
5,p_stand,54.643856,-0.786,0.286,0.638,0.050856
5,p_stand,54.693904,-1.034,0.824,0.248,0.050048
5,p_stand,54.743952,-0.712,0.398,0.06,0.050048
5,p_stand,54.794,-0.714,0.358,0.012,0.050048
5,p_stand,54.843856,-0.794,0.294,-0.01,0.049856
5,p_stand,54.893904,-0.778,0.994,-0.25,0.050048
5,p_stand,54.943952,-0.856,0.582,-0.16,0.050048
5,p_stand,54.994,-0.808,0.624,-0.164,0.050048
5,p_stand,55.043856,-0.824,0.558,-0.202,0.049856
5,p_stand,55.093904,-0.754,0.674,-0.106,0.050048
5,p_stand,55.143952,-0.816,0.544,-0.132,0.050048
5,p_stand,55.194,-0.77,0.59,-0.11,0.050048
5,p_stand,55.243856,-0.978,-0.002,-0.114,0.049856
5,a_walk,55.293904,-0.754,0.494,-0.18,0.050048
5,a_walk,55.343952,-0.69,0.774,-0.172,0.050048
5,a_walk,55.394,-0.936,0.12,-0.112,0.050048
5,a_walk,55.443856,-0.816,0.534,-0.302,0.049856
5,a_walk,55.493904,-0.712,0.648,-0.274,0.050048
5,a_walk,55.543952,-0.718,0.774,-0.296,0.050048
5,a_walk,55.594,-0.816,0.678,-0.194,0.050048
5,a_walk,55.644856,-0.764,0.974,-0.676,0.050856
5,a_walk,55.694904,-0.328,0.582,-0.05,0.050048
5,a_walk,55.744952,-0.72,1.12,-0.002,0.050048
5,a_walk,55.795,-0.882,0.39,0.514,0.050048
5,a_walk,55.844856,-0.782,0.642,0.192,0.049856
5,a_walk,55.894904,-0.856,0.504,0.194,0.050048
5,a_walk,55.944952,-0.912,0.742,-0.008,0.050048
5,a_walk,55.995,-0.92,0.472,-0.18,0.050048
5,a_walk,56.044856,-0.736,0.402,-0.28,0.049856
5,a_walk,56.094904,-0.754,0.428,-0.252,0.050048
5,a_walk,56.144952,-0.706,0.614,-0.34,0.050048
5,a_walk,56.195,-0.814,0.408,-0.154,0.050048
5,a_walk,56.244856,-0.872,0.52,-0.084,0.049856
5,a_walk,56.294904,-0.842,0.366,0.262,0.050048
5,a_walk,56.344952,-1.122,0.438,0.472,0.050048
5,a_walk,56.395,-0.986,0.262,0.542,0.050048
5,a_walk,56.444856,-0.84,0.098,0.632,0.049856
5,a_walk,56.494904,-0.818,0.146,0.686,0.050048
5,a_walk,56.544952,-0.874,0.04,0.718,0.050048
5,a_walk,56.595,-0.7,0.178,0.556,0.050048
5,a_walk,56.645856,-0.634,0.144,0.556,0.050856
5,a_walk,56.695904,-0.672,0.166,0.47,0.050048
5,a_walk,56.745952,-0.746,0.21,0.464,0.050048
5,a_walk,56.796,-0.712,0.198,0.466,0.050048
5,a_walk,56.845856,-0.738,0.288,0.444,0.049856
5,a_walk,56.895904,-0.848,0.402,0.414,0.050048
5,a_walk,56.945952,-0.898,0.408,0.386,0.050048
5,a_walk,56.996,-1.056,0.514,0.384,0.050048
5,a_walk,57.045856,-1.362,0.574,0.39,0.049856
5,a_walk,57.095904,-1.082,0.368,0.288,0.050048
5,a_walk,57.145952,-1.12,0.364,0.192,0.050048
5,a_walk,57.196,-0.928,0.16,0.142,0.050048
5,a_walk,57.245856,-0.942,0.192,0.156,0.049856
5,a_walk,57.295904,-0.77,0.23,0.134,0.050048
5,a_walk,57.345952,-0.798,0.222,0.084,0.050048
5,a_walk,57.396,-0.868,0.242,0.04,0.050048
5,a_walk,57.445856,-0.77,0.184,0.092,0.049856
5,a_walk,57.495904,-0.804,0.262,0.176,0.050048
5,a_walk,57.545952,-0.928,0.37,0.318,0.050048
5,a_walk,57.596,-0.856,0.24,0.414,0.050048
5,a_walk,57.645856,-0.916,0.262,0.398,0.049856
5,a_walk,57.695904,-1.028,0.294,0.48,0.050048
5,a_walk,57.745952,-0.986,0.456,0.518,0.050048
5,a_walk,57.796,-1.03,0.422,0.5,0.050048
5,a_walk,57.846856,-0.888,0.508,0.304,0.050856
5,a_walk,57.896904,-0.77,0.482,0.334,0.050048
5,a_walk,57.946952,-0.686,0.418,0.296,0.050048
5,a_walk,57.997,-0.656,0.344,0.274,0.050048
5,a_walk,58.046856,-0.722,0.32,0.312,0.049856
5,a_walk,58.096904,-0.788,0.312,0.268,0.050048
5,a_jump,58.146952,-0.996,0.172,0.192,0.050048
5,a_jump,58.197,-0.952,0.15,0.126,0.050048
5,a_jump,58.246856,-0.99,0.124,0.056,0.049856
5,a_jump,58.296904,-0.946,0.156,0.038,0.050048
5,a_jump,58.346952,-0.666,0.12,0.014,0.050048
5,a_jump,58.397,-0.606,0.14,0.03,0.050048
5,a_jump,58.446856,-0.462,0.262,0.072,0.049856
5,a_jump,58.496904,-0.698,0.454,0.078,0.050048
5,a_jump,58.546952,-1.028,0.59,0.142,0.050048
5,a_jump,58.597,-1.454,0.636,0.268,0.050048
5,a_jump,58.646856,-2.248,1.046,0.264,0.049856
5,a_jump,58.696904,-2.784,1.456,0.158,0.050048
5,a_jump,58.746952,-1.874,1.35,0.032,0.050048
5,a_jump,58.797,-0.41,0.744,-0.058,0.050048
5,a_jump,58.847856,0.318,-1.33,0.47,0.050856
5,a_jump,58.897904,0.14,-0.114,0.07,0.050048
5,a_jump,58.947952,0.166,-0.05,0.024,0.050048
5,a_jump,58.998,-0.132,0.146,-0.098,0.050048
5,a_jump,59.047856,-0.186,-0.14,0.124,0.049856
5,a_jump,59.097904,-0.16,-0.048,0.294,0.050048
5,a_jump,59.147952,-0.24,0.112,0.35,0.050048
5,a_jump,59.198,-1.008,0.928,0.28,0.050048
5,a_jump,59.247856,-1.928,0.886,0.412,0.049856
5,a_jump,59.297904,-1.928,1.064,0.398,0.050048
5,a_jump,59.347952,-1.588,0.764,0.472,0.050048
5,a_jump,59.398,-1.22,0.62,0.262,0.050048
5,a_jump,59.447856,-0.858,0.432,0.216,0.049856
5,a_jump,59.497904,-0.704,0.086,0.344,0.050048
5,a_jump,59.547952,-0.624,0.104,0.268,0.050048
